5000 12000
0 153 8
0 2113 49
0 211 91
1 1417 65
1 623 37
1 4691 4
2 1109 80
2 1280 59
2 4765 62
3 4446 28
3 866 49
3 176 63
4 1018 71
4 3052 65
4 512 6
5 3446 74
5 2514 35
5 4570 47
6 938 41
6 2177 91
6 2563 39
7 3770 66
7 468 69
7 3550 8
8 1395 21
8 978 53
8 3769 95
9 3981 47
9 3271 34
9 4239 31
10 194 19
10 4591 73
10 1420 86
11 4187 6
11 4008 87
11 1325 62
12 1333 6
12 758 36
12 4370 97
13 1413 13
13 3599 60
13 1659 24
14 1936 20
14 1498 25
14 3549 33
15 3069 4
15 1908 8
15 3445 26
16 4578 16
16 2425 12
16 1705 14
17 3767 78
17 793 56
17 4575 31
18 203 39
18 118 61
18 4586 94
19 4692 91
19 1280 40
19 2948 85
20 306 81
20 4556 71
20 2477 76
21 241 57
21 3579 42
21 4385 64
22 2733 75
22 2228 17
22 2309 88
23 3238 84
23 3657 14
23 1887 67
24 739 52
24 2943 31
24 1410 38
25 4514 61
25 4731 85
25 4668 46
26 1976 14
26 2239 29
26 1384 36
27 3265 12
27 4570 94
27 591 30
28 4038 21
28 432 93
28 3648 35
29 1899 1
29 4222 74
29 290 86
30 729 8
30 1731 16
30 4041 72
31 4850 6
31 3400 9
31 2111 39
32 0 75
32 1108 90
32 2858 14
33 2891 21
33 919 60
33 715 69
34 1882 78
34 1919 85
34 276 78
35 314 85
35 4319 68
35 4122 32
36 2984 31
36 2528 94
36 162 47
37 2158 31
37 3693 50
37 4142 41
38 3493 83
38 33 44
38 2156 75
39 2859 56
39 3267 74
39 3149 66
40 1051 20
40 2832 28
40 2525 19
41 782 65
41 1855 38
41 3947 6
42 2970 45
42 4841 5
42 4618 91
43 3167 68
43 3499 72
43 2053 18
44 3378 93
44 3206 1
44 2355 38
45 4161 4
45 126 24
45 1400 48
46 2903 74
46 3217 18
46 814 74
47 463 70
47 4945 12
47 2848 76
48 2312 42
48 3030 44
48 4778 24
49 1329 62
49 856 92
49 2723 84
50 4453 82
50 1349 89
50 3450 50
51 2175 4
51 3584 78
51 1043 83
52 4499 16
52 4252 17
52 31 39
53 2254 93
53 664 36
53 3685 98
54 3667 8
54 785 13
54 163 63
55 1250 62
55 3676 64
55 3632 100
56 3855 8
56 3271 79
56 771 77
57 1 50
57 1417 22
57 2615 82
58 626 14
58 1173 99
58 31 13
59 449 66
59 1227 5
59 3587 52
60 168 37
60 199 22
60 1236 95
61 2764 36
61 660 43
61 5 33
62 2526 41
62 1117 73
62 1932 54
63 432 86
63 3688 38
63 2466 60
64 1835 95
64 1934 77
64 515 92
65 3562 52
65 4773 15
65 3104 35
66 624 37
66 2093 51
66 1645 51
67 2505 4
67 617 50
67 3891 79
68 3514 78
68 2309 56
68 2166 23
69 1146 92
69 796 50
69 2088 94
70 2105 48
70 2406 1
70 524 59
71 1037 71
71 227 12
71 601 98
72 4011 19
72 4506 14
72 4399 21
73 4183 51
73 3890 89
73 6 90
74 1123 98
74 2108 2
74 3095 59
75 1218 16
75 3671 3
75 983 61
76 3909 63
76 3054 17
76 807 24
77 4056 98
77 3507 1
77 269 56
78 1185 75
78 1783 85
78 2868 85
79 262 14
79 2055 57
79 1637 80
80 3136 55
80 907 76
80 114 99
81 3452 80
81 2359 87
81 2656 23
82 3249 34
82 3082 5
82 3309 81
83 4065 59
83 498 13
83 4740 3
84 1766 40
84 2690 86
84 2117 19
85 3373 94
85 713 19
85 2800 37
86 2460 87
86 839 41
86 977 50
87 3831 1
87 3167 84
87 2436 42
88 3180 21
88 638 37
88 3686 65
89 4211 77
89 3733 20
89 4704 10
90 1197 38
90 1101 9
90 4180 22
91 1557 21
91 4732 81
91 442 47
92 2603 55
92 4878 31
92 3122 1
93 1532 100
93 2357 80
93 2961 25
94 1414 2
94 331 33
94 3491 57
95 2577 35
95 3466 69
95 624 50
96 1835 77
96 3591 63
96 918 100
97 32 13
97 126 11
97 4643 27
98 958 67
98 683 65
98 1669 88
99 316 44
99 1766 65
99 3110 56
100 4924 70
100 981 65
100 4250 38
101 2189 31
101 2776 13
101 3976 40
102 996 20
102 86 96
102 1720 81
103 1219 80
103 4319 6
103 3057 93
104 3403 38
104 4185 62
104 1762 42
105 4864 55
105 4855 2
105 2138 84
106 1012 76
106 2615 91
106 1163 16
107 3087 14
107 4217 47
107 3372 85
108 2896 3
108 4261 50
108 4009 56
109 4562 93
109 1637 15
109 1885 3
110 153 56
110 4798 49
110 969 59
111 3204 74
111 2255 82
111 1272 83
112 1648 59
112 1506 83
112 1922 76
113 2015 99
113 460 5
113 1597 55
114 1183 92
114 2457 21
114 866 51
115 3705 59
115 3549 30
115 3550 59
116 3628 45
116 2618 1
116 2878 78
117 1138 77
117 3539 82
117 3094 22
118 1278 39
118 4812 39
118 1367 28
119 370 90
119 3099 94
119 4722 95
120 286 100
120 127 26
120 159 56
121 464 97
121 3648 7
121 347 40
122 4051 86
122 140 62
122 4290 25
123 4114 4
123 2700 53
123 1880 89
124 4822 76
124 2825 11
124 2413 92
125 4684 67
125 1524 16
125 1427 78
126 1711 56
126 3648 33
126 1836 66
127 4699 14
127 235 70
127 362 24
128 783 96
128 13 44
128 2037 25
129 2018 87
129 2621 59
129 1743 80
130 2327 58
130 3072 74
130 2675 33
131 2870 90
131 3024 62
131 3142 41
132 1336 36
132 1004 50
132 4605 37
133 1753 98
