4096 24576
0 2539 2
0 1187 5
0 3911 2
0 585 8
0 1498 10
0 1681 2
0 2115 7
0 2424 1
0 3708 7
0 196 1
1 1852 10
1 3555 8
1 2134 1
1 1064 9
1 1293 8
1 944 9
2 2413 3
2 1678 2
3 839 9
3 297 1
3 174 7
3 2217 9
3 51 8
4 3195 6
4 3215 5
4 332 3
4 2077 7
4 1214 2
4 2367 10
4 1947 10
5 2350 6
5 3441 1
5 3246 7
5 1999 1
5 2037 5
5 2227 8
5 101 7
6 3340 9
6 3713 7
6 3013 4
6 1001 3
7 444 6
7 3306 2
7 4043 1
7 1361 1
8 3916 6
8 365 4
8 1485 8
9 251 8
9 234 2
9 4042 2
9 870 7
9 3803 9
10 3874 4
10 1058 5
10 831 3
10 2331 6
10 1328 1
10 2525 4
10 255 3
11 381 1
11 2521 1
11 3946 5
11 2449 4
12 285 2
12 3848 4
12 2669 9
12 3949 3
13 1050 4
13 2855 9
13 1974 3
13 349 7
13 2874 6
13 192 6
14 3442 4
14 265 1
14 2281 4
14 403 6
14 2359 5
14 319 8
14 39 1
15 3893 3
15 1176 1
15 3154 10
15 866 9
15 2670 9
16 3934 6
16 3799 5
16 393 8
16 2722 10
16 2107 4
16 185 3
16 69 1
16 1958 4
16 1613 2
16 1908 10
16 3867 5
17 2950 2
17 3397 10
17 3737 1
17 1074 9
17 234 2
18 2795 8
18 1452 8
18 1437 2
18 768 7
18 3400 1
19 1212 6
19 2675 7
19 989 4
19 1338 6
19 764 5
19 216 3
19 2186 3
19 2210 9
20 2194 1
20 1703 3
20 2668 5
20 3684 3
21 3636 6
21 3939 5
21 3718 2
21 3954 10
22 4009 10
22 703 8
22 2990 8
22 2162 4
22 3980 1
22 1245 8
23 2488 1
23 2391 3
23 3774 9
23 3238 5
24 1534 4
24 3440 3
24 2611 6
24 2878 7
24 1931 8
25 3668 9
25 3139 10
25 3822 10
25 2184 3
25 82 6
25 3317 1
25 1702 3
26 4087 10
26 519 3
26 1944 1
26 3830 9
27 3563 10
27 2150 5
28 3735 9
28 1158 2
28 3265 9
28 2571 6
28 2587 4
28 2073 3
28 405 6
28 3865 3
28 42 4
28 2358 9
28 2632 1
28 1629 5
29 2968 10
29 3160 8
29 1934 7
30 1108 3
30 2324 9
30 1923 4
30 2536 10
30 3112 3
30 3817 1
31 4008 3
31 2118 10
31 1034 6
31 3094 8
31 3868 9
31 2484 6
32 3791 7
32 1456 5
32 2643 5
32 462 9
32 1481 8
32 1788 10
32 811 5
33 1441 10
33 2258 6
33 3559 5
33 2816 2
33 3886 1
34 428 9
34 2442 8
34 873 2
34 3460 2
34 989 7
34 2897 9
34 1464 7
34 1525 4
34 685 7
34 3906 4
34 678 7
35 1824 2
35 2256 8
35 1016 9
35 3705 1
36 3368 10
36 136 1
36 1154 8
36 2478 10
36 3323 2
36 104 10
37 932 7
37 3100 8
37 2465 5
37 491 9
37 1735 3
37 1031 3
37 2790 1
37 1423 5
37 2939 6
38 1829 9
38 1241 3
38 386 4
39 1934 8
39 2883 9
39 14 1
39 686 2
40 992 5
40 3564 8
40 551 10
40 2074 3
40 2344 1
41 3593 9
41 1103 6
41 2668 6
41 696 5
42 4019 4
42 1708 1
42 2519 3
42 3455 8
42 28 4
43 3639 8
43 1977 7
43 2429 5
43 3549 7
43 468 10
43 2801 10
44 848 7
44 959 9
44 2410 6
44 3898 9
44 2059 3
44 1938 9
44 3544 1
44 3513 9
44 1136 1
44 302 4
45 1589 7
45 305 1
45 3199 2
45 847 4
46 3900 6
46 2632 6
46 2193 6
46 442 7
46 3972 1
47 3426 4
47 1500 3
47 1723 5
47 2849 1
47 2498 4
47 3104 4
47 3131 5
48 1198 2
48 1492 10
48 2112 6
48 1202 2
48 2284 10
49 1672 10
49 3115 3
49 2934 4
49 990 4
50 434 8
50 3372 6
50 1974 6
50 2729 9
50 3517 3
50 2286 6
50 1761 1
50 3637 3
51 3058 4
51 1178 2
51 985 4
51 3 8
51 939 6
52 445 3
52 1807 9
52 2728 7
52 1861 5
52 2716 5
52 3316 3
52 2836 5
52 174 3
53 1190 4
53 1061 9
53 2375 6
53 3599 9
53 1048 3
53 3021 8
53 1421 5
53 2090 10
53 1289 6
54 971 1
54 3560 4
54 1817 2
54 3691 1
55 2572 6
55 1938 9
55 576 6
55 3178 3
55 3265 6
56 3747 6
56 1332 1
56 2812 9
56 3574 5
56 2033 7
57 1103 4
57 2806 4
57 2506 5
58 686 3
58 3917 3
58 350 5
58 2609 6
58 1906 7
58 3969 10
58 3419 10
58 3338 10
59 1448 9
59 1050 3
59 1080 5
59 3620 4
59 1286 10
60 2202 5
60 4079 7
60 3722 3
60 1210 7
60 3678 2
60 1323 7
60 2341 7
60 320 2
60 3506 7
60 649 4
61 2993 5
61 1165 6
61 1384 9
61 335 7
61 2002 2
61 302 7
62 1502 1
62 4049 9
62 2628 3
62 259 2
63 2500 1
63 2022 9
63 541 9
63 2910 2
63 4089 6
64 3356 1
64 2474 9
64 1941 2
64 1025 2
64 3026 10
65 2314 6
65 2102 6
65 1122 7
65 1833 10
65 1692 1
65 1372 3
65 1302 4
65 3883 10
65 2310 9
65 3151 9
66 2447 2
66 1205 5
66 276 2
66 2431 8
66 611 3
66 512 8
67 1134 10
67 758 2
67 2418 6
67 276 10
67 2592 1
67 1655 8
67 2181 1
67 3243 10
68 2191 3
68 455 4
68 1130 5
68 2880 8
68 740 1
68 635 6
68 932 9
68 3178 8
69 1032 9
69 89 6
69 414 1
69 730 9
69 16 1
70 3631 9
70 1411 6
70 2356 5
70 2474 5
70 3025 4
71 3876 8
71 2897 7
71 957 5
71 2621 6
71 1568 8
72 2610 8
72 3253 7
72 1169 1
72 3292 4
72 1035 2
72 1417 5
72 3613 10
72 1063 5
73 1779 7
73 360 2
73 208 3
73 1014 7
73 894 8
73 2599 7
74 4076 3
74 3329 6
74 2497 10
74 1110 5
74 803 8
74 3322 10
74 3100 7
74 1921 8
75 3077 2
75 1052 7
75 2808 5
75 3802 9
75 2708 9
75 3412 1
75 690 9
75 2266 3
75 112 3
76 765 4
76 3276 3
76 3823 5
76 181 9
76 457 1
77 299 6
77 934 5
77 3422 7
77 3718 4
77 1793 6
77 3672 8
77 2858 2
77 3801 3
77 1693 8
77 3711 4
78 2917 1
78 291 6
78 3209 1
78 334 10
78 3287 6
79 626 5
